result_key,question,dataset,C,p1_penalty,p2_penalty,return_uses,T_seconds,score1,score2,score3,score4_literal,weighted_literal,score4_capped_sensitivity,weighted_capped_sensitivity,hard_failure_count,warning_codes,status
result11,1,Attachment 1,318,175,18,0,3531,-75,82,100,94.03,24.003,94.03,24.003,0,SAMPLED_CODE_DUPLICATE,REPRODUCED_FROM_FROZEN_RUN_STATE / EVENT_VALIDATED / SCORE_RECOMPUTED / HEURISTIC_FEASIBLE / NOT_OPTIMALITY_PROVEN
result12,1,Attachment 2,318,104,19,0,2919,-4,81,100,100.15,52.715,100,52.7,0,TIME_SCORE_GT_100;SAMPLED_CODE_DUPLICATE,REPRODUCED_FROM_FROZEN_RUN_STATE / EVENT_VALIDATED / SCORE_RECOMPUTED / HEURISTIC_FEASIBLE / NOT_OPTIMALITY_PROVEN
result21,2,Attachment 1,318,167,22,0,2625,-67,78,100,103.09,26.909,100,26.599999999999998,0,TIME_SCORE_GT_100;SAMPLED_CODE_DUPLICATE,REPRODUCED_FROM_FROZEN_RUN_STATE / EVENT_VALIDATED / SCORE_RECOMPUTED / HEURISTIC_FEASIBLE / NOT_OPTIMALITY_PROVEN
result22,2,Attachment 2,318,93,20,0,3003,7,80,100,99.31,56.730999999999995,99.31,56.730999999999995,0,SAMPLED_CODE_DUPLICATE,REPRODUCED_FROM_FROZEN_RUN_STATE / EVENT_VALIDATED / SCORE_RECOMPUTED / HEURISTIC_FEASIBLE / NOT_OPTIMALITY_PROVEN
