field,turbine,mode,power_mape,torque_mape,baseline_power_mape,samples
WF_1,1,all_fit_diagnostic,0.22767255053264654,5.707828761860149,0.21368093690587192,1999
WF_1,1,chronological_holdout,0.23271768011456548,5.741567411077978,0.22223460357454652,600
WF_1,2,all_fit_diagnostic,0.19780336482549532,5.716735534785109,0.19272016448125223,1999
WF_1,2,chronological_holdout,0.21029783335806593,5.700290240708266,0.2009380904105102,600
WF_1,3,all_fit_diagnostic,0.2139799380102098,5.6850564294258605,0.20460938164083117,1999
WF_1,3,chronological_holdout,0.21977944118445628,5.6501632687122525,0.2122721075400724,600
WF_1,4,all_fit_diagnostic,0.2007115444574435,5.72748446147844,0.19694054990145524,1999
WF_1,4,chronological_holdout,0.2056749435019609,5.718555524928499,0.19159978942188838,600
WF_1,5,all_fit_diagnostic,0.20089199535687033,5.668823268603448,0.19535198785011035,1999
WF_1,5,chronological_holdout,0.20229682524522857,5.71847471352477,0.20880936899757194,600
WF_1,6,all_fit_diagnostic,0.201189135332902,5.738439529496478,0.19772265395783165,1999
WF_1,6,chronological_holdout,0.2018619567010017,5.705478873826668,0.2026845066220755,600
WF_1,7,all_fit_diagnostic,0.19029115097332205,5.717883243489634,0.19427308525050252,1999
WF_1,7,chronological_holdout,0.18792735824112355,5.743495831148837,0.1928936360506941,600
WF_1,8,all_fit_diagnostic,0.20340139692900153,5.73304127629952,0.20203156598764146,1999
WF_1,8,chronological_holdout,0.21181494305115534,5.752888735718672,0.21742140221559408,600
WF_1,9,all_fit_diagnostic,0.19237280945246024,5.720841065268399,0.19186625225990495,1999
WF_1,9,chronological_holdout,0.19389361056494772,5.667610636674122,0.1833491391099308,600
WF_1,10,all_fit_diagnostic,0.22058257787558871,5.705500920150115,0.2094838093585402,1999
WF_1,10,chronological_holdout,0.22732550979327734,5.667598272197473,0.22471683246002988,600
WF_1,11,all_fit_diagnostic,0.19908039870838382,5.7253787173017505,0.19577370202464003,1999
WF_1,11,chronological_holdout,0.20110144364422852,5.753442923919799,0.19996466045877878,600
WF_1,12,all_fit_diagnostic,0.20190923487682336,5.7003055098856,0.19893861528930282,1999
WF_1,12,chronological_holdout,0.19392851479565942,5.71807961243992,0.19890988648032193,600
WF_1,13,all_fit_diagnostic,0.21593349772690498,5.705600682510267,0.20684402176980055,1999
WF_1,13,chronological_holdout,0.21087995635696086,5.759338721243283,0.21229530051635911,600
WF_1,14,all_fit_diagnostic,0.19548299441585873,5.717311100587912,0.19416862182610686,1999
WF_1,14,chronological_holdout,0.1950168674021323,5.673400610792069,0.19937616275397008,600
WF_1,15,all_fit_diagnostic,0.22176611524972253,5.674095071286971,0.21434504339101693,1999
WF_1,15,chronological_holdout,0.21756916319354783,5.639067128139167,0.19884252877411493,600
WF_1,16,all_fit_diagnostic,0.24983857380597388,5.693459514386332,0.2274961252571609,1999
WF_1,16,chronological_holdout,0.2577430277065179,5.763433854268672,0.24326366773457414,600
WF_1,17,all_fit_diagnostic,0.21429443357096184,5.703864802167445,0.2048022311854073,1999
WF_1,17,chronological_holdout,0.21926285841369592,5.696614533695282,0.21330992839392196,600
